Last Traded Price (LTP),Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest (OI),Previous Close Price,Previous Open Interest,expiry_date,strike_price,option_type,underlying,implied volatility,In the money
722.8,0,0,730.45,1200,741.8,600,1600,85.5,6300,27JUL23,19350.0,PE,MAINIDX,,True
849.05,0,0,836.9,200,841.35,200,146400,79.0,9000,27JUL23,17800.0,CE,MAINIDX,15.57,True
4.7,0,0,4.7,0,4.7,0,0,73.0,300,20JUL23,16950.0,PE,MAINIDX,20.92,False
1385.0,0,0,1383.0,50,1387.9,50,1437175,34.0,2250,28DEC23,18000.0,CE,MAINIDX,16.01,True
1.65,18400,18400,1.65,217450,1.7,247700,9307550,52776.5,613900,06JUL23,19500.0,CE,MAINIDX,31.13,False
146.0,0,0,147.05,100,149.19,600,21000,163.0,8850,20JUL23,18550.0,PE,MAINIDX,10.71,True
150.19,0,0,142.1,80,146.1,40,1200,88.4,8280,11JUL23,19450.0,CE,FINANCIALS,15.5,False
61.7,150,150,61.7,60,63.15,15,6570,12.6,1995,31AUG23,39500.0,PE,ALLBANKS,17.69,False
450.85,0,0,446.15,100,448.05,50,75250,180.5,10350,27JUL23,18250.0,CE,MAINIDX,12.6,True
169.45,150,150,169.4,200,170.3,100,34400,142.0,17550,20JUL23,18600.0,CE,MAINIDX,11.36,False
431.0,0,0,431.0,0,431.0,0,0,25.5,0,31DEC26,11000.0,PE,MAINIDX,31.44,False
900.45,0,0,879.6,150,897.6,300,0,174.0,17150,06JUL23,19450.0,PE,MAINIDX,33.9,True
1096.45,0,0,1174.09,50,1261.55,50,0,31.0,2925,13JUL23,45200.0,PE,ALLBANKS,,True
494.75,150,150,492.4,275,500.65,25,2325,35.25,3300,20JUL23,44100.0,CE,ALLBANKS,13.85,False
24.0,1050,1050,24.05,800,24.3,3100,77500,480.5,19400,27JUL23,17750.0,PE,MAINIDX,13.71,False
1541.45,0,0,1787.6,1500,2057.25,1500,0,60.5,4250,27JUL23,16650.0,CE,MAINIDX,,True
8.0,750,750,8.0,900,8.1,1750,674000,642.0,25950,27JUL23,19400.0,CE,MAINIDX,9.71,False
238.25,9950,9950,236.95,250,237.6,950,124350,995.0,63050,06JUL23,18350.0,CE,MAINIDX,20.73,True
1385.0,0,0,1385.0,0,1385.0,0,0,18.0,300,28MAR24,19000.0,CE,MAINIDX,20.12,False
1200.0,0,0,1186.2,15,1227.25,15,1350,17.85,1335,28SEP23,44500.0,PE,ALLBANKS,14.13,True
24.05,0,0,20.05,50,27.8,50,1050,168.5,1900,20JUL23,19050.0,CE,MAINIDX,10.14,False
213.0,450,450,211.2,50,213.55,150,457150,102.5,4850,28DEC23,17500.0,PE,MAINIDX,14.6,False
2.7,45200,45200,2.65,32550,2.7,1600,1606900,2367.0,133950,06JUL23,17850.0,PE,MAINIDX,27.05,False
355.0,150,150,353.6,1150,354.7,800,126550,297.5,15550,27JUL23,18900.0,PE,MAINIDX,9.15,True
671.1,0,0,660.55,250,662.65,150,81250,325.0,26500,06JUL23,17900.0,CE,MAINIDX,36.81,True
